t,gpu_busy,headless_chromium_cpu,firefox_cpu,gnome_shell_cpu,xorg_cpu,loadavg1
1,100,47.0,21.0,6.0,4.0,6.78
2,97,58.0,21.0,6.0,5.0,6.78
3,64,54.0,19.0,5.0,5.0,6.78
4,0,7.0,19.0,4.0,3.0,6.78
5,0,11.0,18.0,5.0,2.0,6.55
6,99,11.0,34.0,5.0,3.0,6.55
7,0,6.0,19.0,5.0,3.0,6.55
8,0,6.0,19.0,6.0,4.0,6.55
9,0,12.0,21.0,6.0,3.0,6.35
10,0,60.0,20.0,5.0,4.0,6.35
11,99,38.0,16.0,4.0,1.0,6.35
12,100,4.0,21.0,10.0,11.0,6.35
13,70,5.0,18.0,5.0,2.0,6.08
14,99,6.0,19.0,4.0,4.0,6.08
15,99,14.0,32.0,4.0,3.0,6.08
16,10,7.0,17.0,3.0,3.0,6.08
17,99,9.0,20.0,7.0,4.0,5.83
18,99,10.0,23.0,5.0,3.0,5.83
19,100,-97.0,23.0,6.0,5.0,5.83
20,54,115.0,22.0,7.0,5.0,5.83
21,0,36.0,23.0,7.0,6.0,5.69
22,100,332.0,35.0,10.0,9.0,5.69
23,100,400.0,49.0,11.0,15.0,5.69
24,0,-799.0,20.0,7.0,4.0,5.69
25,69,6.0,21.0,9.0,4.0,5.47
26,53,41.0,18.0,6.0,3.0,5.47
27,90,53.0,21.0,7.0,6.0,5.47
28,0,-284.0,22.0,7.0,5.0,5.47
29,74,18.0,20.0,6.0,4.0,5.51
30,100,98.0,20.0,6.0,7.0,5.51
31,0,423.0,37.0,6.0,4.0,5.51
32,0,32.0,18.0,4.0,4.0,5.51
33,100,35.0,21.0,8.0,5.0,5.63
34,99,60.0,21.0,6.0,3.0,5.63
35,0,67.0,22.0,8.0,6.0,5.63
36,0,96.0,19.0,6.0,3.0,5.63
37,100,25.0,16.0,5.0,4.0,5.42
38,100,398.0,23.0,10.0,8.0,5.42
39,24,41.0,69.0,9.0,11.0,5.42
40,100,132.0,32.0,7.0,8.0,5.42
41,100,271.0,27.0,8.0,4.0,5.63
42,0,131.0,29.0,5.0,5.0,5.63
43,0,-992.0,32.0,5.0,4.0,5.63
44,0,133.0,26.0,4.0,3.0,5.63
45,99,91.0,23.0,6.0,6.0,5.66
46,56,415.0,27.0,6.0,5.0,5.66
47,0,-63.0,53.0,6.0,4.0,5.66
48,28,9.0,26.0,8.0,5.0,5.66
49,99,6.0,24.0,6.0,4.0,5.61
50,0,87.0,26.0,5.0,5.0,5.61
51,0,17.0,29.0,5.0,4.0,5.61
52,100,126.0,23.0,7.0,4.0,5.61
53,83,26.0,20.0,5.0,3.0,5.80
54,0,-1151.0,21.0,5.0,3.0,5.80
55,95,4.0,36.0,5.0,2.0,5.80
56,27,242.0,26.0,6.0,5.0,5.80
57,25,-1065.0,25.0,7.0,4.0,5.81
58,0,1.0,22.0,6.0,5.0,5.81
59,70,0.0,22.0,4.0,4.0,5.81
60,99,171.0,28.0,6.0,6.0,5.81
