t,gpu_busy,n_chrome_procs,total_cpu_pct,firefox_cpu_pct
1,100,9,6.8,25.0
2,22,9,7.1,27.0
3,99,9,5.4,26.0
4,0,15,7.8,28.0
5,0,21,10.1,27.0
6,25,21,16.1,37.0
7,0,21,10.0,37.0
8,0,21,9.2,48.0
9,25,21,7.2,34.0
10,0,21,9.2,30.0
11,100,21,5.7,28.0
12,0,21,9.4,35.0
13,0,21,6.6,26.0
14,100,21,9.0,25.0
15,100,21,9.2,21.0
16,0,21,13.3,32.0
17,0,15,12.6,50.0
18,0,15,10.6,26.0
19,0,15,9.1,27.0
20,0,15,12.5,29.0
21,80,15,11.2,25.0
22,23,15,12.3,23.0
23,25,15,12.4,48.0
24,100,15,15.0,61.0
25,100,15,16.4,48.0
26,83,15,20.8,206.0
27,0,15,13.8,38.0
28,100,15,9.0,27.0
29,0,15,10.4,25.0
30,99,15,10.7,33.0
31,99,15,8.0,20.0
32,85,15,8.4,21.0
33,0,15,10.8,36.0
34,99,15,10.6,49.0
35,100,15,13.7,31.0
36,0,15,9.7,24.0
37,0,15,9.9,23.0
38,18,15,8.5,32.0
39,100,15,10.4,30.0
40,0,15,9.3,28.0
41,0,15,7.5,27.0
42,0,15,6.1,27.0
43,0,15,8.0,43.0
44,26,14,12.9,49.0
45,82,21,17.2,26.0
46,0,21,16.2,26.0
47,0,21,11.5,30.0
48,96,21,10.0,25.0
49,100,21,10.4,21.0
50,15,21,15.9,28.0
51,100,15,14.4,30.0
52,100,15,9.2,35.0
53,100,15,10.0,48.0
54,0,9,7.8,16.0
55,76,9,8.4,19.0
56,0,9,11.5,18.0
57,100,3,8.2,18.0
58,25,3,5.1,18.0
59,25,3,7.7,35.0
60,100,9,10.1,31.0
61,99,9,9.5,42.0
62,100,9,9.1,30.0
63,23,15,8.9,24.0
64,100,15,9.9,29.0
65,100,15,11.1,24.0
66,0,15,9.5,30.0
67,100,15,11.6,25.0
68,36,15,11.9,27.0
69,100,15,9.5,42.0
70,0,9,8.4,28.0
71,100,9,10.1,24.0
72,30,9,8.9,26.0
73,100,9,8.7,24.0
74,100,9,9.1,25.0
75,99,9,8.9,22.0
76,100,9,7.6,27.0
77,100,9,7.9,31.0
78,98,9,11.9,49.0
79,99,9,18.8,42.0
80,95,9,10.7,29.0
81,0,9,8.6,25.0
82,0,9,8.2,26.0
83,100,9,7.2,28.0
84,0,9,6.9,21.0
85,88,9,7.9,21.0
86,0,9,8.4,28.0
87,100,9,8.6,47.0
88,22,9,11.9,39.0
89,95,9,8.7,31.0
90,0,9,5.7,21.0
91,100,9,8.2,22.0
92,100,9,11.3,32.0
93,99,9,6.6,28.0
94,100,9,7.7,32.0
95,0,9,9.9,36.0
96,0,9,9.2,33.0
97,100,9,7.6,26.0
98,99,9,11.1,53.0
99,99,15,13.8,31.0
100,0,15,8.8,53.0
101,99,15,6.7,29.0
102,0,15,8.4,23.0
103,0,15,9.3,25.0
104,0,15,10.5,39.0
105,100,15,11.0,27.0
106,100,15,8.2,23.0
107,100,15,5.1,20.0
108,0,15,9.0,29.0
109,100,15,8.6,23.0
110,100,15,7.9,23.0
111,0,15,9.9,25.0
112,0,15,10.6,24.0
113,99,15,8.6,35.0
114,0,15,7.5,21.0
115,100,15,8.1,22.0
116,100,15,8.4,23.0
117,0,15,3.7,19.0
118,100,15,4.5,21.0
119,99,15,3.3,17.0
120,0,15,4.1,16.0
