time,reason,gpu,metric,scope,sum,count,bucket_count,histogram_type,range
2026-08-10 09:19:23,aborted-session,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_POTENTIAL_DURATION,parent,732,,50,0,"[1, 1000000]"
2026-08-10 09:19:23,aborted-session,0x10de:0x2684/nvidia/unknown,COMPOSITE_TIME,parent,11252,,50,0,"[1, 1000]"
2026-08-10 09:19:23,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME,parent,367954,,50,0,"[1, 5000]"
2026-08-10 09:19:23,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_VSYNC,parent,385919,,100,1,"[8, 792]"
2026-08-10 09:19:23,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_WITH_SVG,parent,237104,,50,0,"[1, 5000]"
2026-08-10 09:19:23,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_FULL_PAINT_TIME,parent,1201,,50,0,"[1, 1000]"
2026-08-10 09:19:23,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,content,293,,50,0,"[1, 1000]"
2026-08-10 09:19:23,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,extension,0,0,50,0,"[1, 1000]"
2026-08-10 09:19:23,environment-change,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_POTENTIAL_DURATION,parent,732,,50,0,"[1, 1000000]"
2026-08-10 09:19:23,environment-change,0x10de:0x2684/nvidia/unknown,COMPOSITE_TIME,parent,11252,,50,0,"[1, 1000]"
2026-08-10 09:19:23,environment-change,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME,parent,367954,,50,0,"[1, 5000]"
2026-08-10 09:19:23,environment-change,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_VSYNC,parent,385919,,100,1,"[8, 792]"
2026-08-10 09:19:23,environment-change,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_WITH_SVG,parent,237104,,50,0,"[1, 5000]"
2026-08-10 09:19:23,environment-change,0x10de:0x2684/nvidia/unknown,CONTENT_FULL_PAINT_TIME,parent,1201,,50,0,"[1, 1000]"
2026-08-10 09:19:23,environment-change,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,content,293,,50,0,"[1, 1000]"
2026-08-10 09:19:23,environment-change,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,extension,0,0,50,0,"[1, 1000]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_POTENTIAL_DURATION,parent,516,,50,0,"[1, 1000000]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,COMPOSITE_TIME,parent,2643,,50,0,"[1, 1000]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME,parent,134067,,50,0,"[1, 5000]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_VSYNC,parent,153287,,100,1,"[8, 792]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_WITH_SVG,parent,148737,,50,0,"[1, 5000]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_FULL_PAINT_TIME,parent,1165,,50,0,"[1, 1000]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,content,305,,50,0,"[1, 1000]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,extension,0,0,50,0,"[1, 1000]"
2026-08-10 09:26:13,aborted-session,0x10de:0x2684/nvidia/unknown,SCROLL_PRESENT_LATENCY,parent,185,,100,0,"[1, 20000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_DURATION,parent,91887,,50,0,"[1, 100000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_PEAK,parent,3005909,,50,0,"[1, 66355200]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_POTENTIAL_DURATION,parent,115300,,50,0,"[1, 1000000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_SEVERITY,parent,71825,,50,0,"[1, 1073741824]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,COMPOSITE_TIME,parent,31434,,50,0,"[1, 1000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME,parent,3050337,,50,0,"[1, 5000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_VSYNC,parent,3287596,,100,1,"[8, 792]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_WITH_SVG,parent,2362846,,50,0,"[1, 5000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CONTENT_FULL_PAINT_TIME,parent,8797,,50,0,"[1, 1000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,content,4502,,50,0,"[1, 1000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,extension,0,0,50,0,"[1, 1000]"
2026-08-10 09:51:43,shutdown,0x10de:0x2684/nvidia/unknown,SCROLL_PRESENT_LATENCY,parent,13698,,100,0,"[1, 20000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_DURATION,parent,34,,50,0,"[1, 100000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_PEAK,parent,99332,,50,0,"[1, 66355200]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_POTENTIAL_DURATION,parent,2530,,50,0,"[1, 1000000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CHECKERBOARD_SEVERITY,parent,1813,,50,0,"[1, 1073741824]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,COMPOSITE_TIME,parent,2822,,50,0,"[1, 1000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME,parent,15117894,,50,0,"[1, 5000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_VSYNC,parent,806707,,100,1,"[8, 792]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CONTENT_FRAME_TIME_WITH_SVG,parent,553656,,50,0,"[1, 5000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CONTENT_FULL_PAINT_TIME,parent,526,,50,0,"[1, 1000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,content,177,,50,0,"[1, 1000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,CONTENT_PAINT_TIME,extension,0,0,50,0,"[1, 1000]"
2026-08-10 16:00:00,daily,0x10de:0x2684/nvidia/unknown,SCROLL_PRESENT_LATENCY,parent,1467,,100,0,"[1, 20000]"
