=== snap connections firefox ===
接口                        插头                                插槽                              注记
alsa                      firefox:alsa                      -                               -
audio-playback            firefox:audio-playback            :audio-playback                 -
audio-record              firefox:audio-record              :audio-record                   -
avahi-observe             firefox:avahi-observe             :avahi-observe                  -
browser-support           firefox:browser-sandbox           :browser-support                -
camera                    firefox:camera                    :camera                         -
content[gnome-46-2404]    firefox:gnome-46-2404             gnome-46-2404:gnome-46-2404     -
content[gpu-2404]         firefox:gpu-2404                  mesa-2404:gpu-2404              -
content[gtk-3-themes]     firefox:gtk-3-themes              gtk-common-themes:gtk-3-themes  -
content[icon-themes]      firefox:icon-themes               gtk-common-themes:icon-themes   -
content[sound-themes]     firefox:sound-themes              gtk-common-themes:sound-themes  -
cups-control              firefox:cups-control              :cups-control                   -
dbus                      -                                 firefox:dbus-daemon             -
desktop                   firefox:desktop                   :desktop                        -
desktop-legacy            firefox:desktop-legacy            :desktop-legacy                 -
gsettings                 firefox:gsettings                 :gsettings                      -
hardware-observe          firefox:hardware-observe          :hardware-observe               -
home                      firefox:home                      :home                           -
joystick                  firefox:joystick                  :joystick                       -
kerberos-tickets          firefox:kerberos-tickets          :kerberos-tickets               -
login-session-observe     firefox:login-session-observe     :login-session-observe          -
mount-control             firefox:host-hunspell             :mount-control                  -
mount-observe             firefox:mount-observe             :mount-observe                  -
mpris                     -                                 firefox:mpris                   -
network                   firefox:network                   :network                        -
network-bind              firefox:network-bind              :network-bind                   -
network-observe           firefox:network-observe           -                               -
opengl                    firefox:opengl                    :opengl                         -
password-manager-service  firefox:password-manager-service  -                               -
pcscd                     firefox:pcscd                     -                               -
personal-files            firefox:dot-mozilla-firefox       :personal-files                 -
removable-media           firefox:removable-media           :removable-media                -
screen-inhibit-control    firefox:screen-inhibit-control    :screen-inhibit-control         -
system-files              firefox:etc-firefox               :system-files                   -
system-files              firefox:host-usr-share-hunspell   :system-files                   -
system-packages-doc       firefox:system-packages-doc       :system-packages-doc            -
timezone-control          firefox:timezone-control          :timezone-control               -
u2f-devices               firefox:u2f-devices               :u2f-devices                    -
unity7                    firefox:unity7                    :unity7                         -
upower-observe            firefox:upower-observe            :upower-observe                 -
wayland                   firefox:wayland                   :wayland                        -
x11                       firefox:x11                       :x11                            -

=== snap connections firefox | grep -i -E 'graphics|opengl|wayland|hardware|desktop|audio|dri|x11|kvm|removable|joystick|personal|home|network' ===
audio-playback            firefox:audio-playback            :audio-playback                 -
audio-record              firefox:audio-record              :audio-record                   -
desktop                   firefox:desktop                   :desktop                        -
desktop-legacy            firefox:desktop-legacy            :desktop-legacy                 -
gsettings                 firefox:gsettings                 :gsettings                      -
hardware-observe          firefox:hardware-observe          :hardware-observe               -
home                      firefox:home                      :home                           -
joystick                  firefox:joystick                  :joystick                       -
mount-control             firefox:host-hunspell             :mount-control                  -
mount-observe             firefox:mount-observe             :mount-observe                  -
network                   firefox:network                   :network                        -
network-bind              firefox:network-bind              :network-bind                   -
network-observe           firefox:network-observe           -                               -
opengl                    firefox:opengl                    :opengl                         -
password-manager-service  firefox:password-manager-service  -                               -
personal-files            firefox:dot-mozilla-firefox       :personal-files                 -
removable-media           firefox:removable-media           :removable-media                -
wayland                   firefox:wayland                   :wayland                        -
x11                       firefox:x11                       :x11                            -

=== count of lines containing '-' (disconnected) ===
alsa                      firefox:alsa                      -                               -
dbus                      -                                 firefox:dbus-daemon             -
mpris                     -                                 firefox:mpris                   -
network-observe           firefox:network-observe           -                               -
password-manager-service  firefox:password-manager-service  -                               -
pcscd                     firefox:pcscd                     -                               -
=== any interface with '-' plug or slot ===
alsa                      firefox:alsa                      -                               -
dbus                      -                                 firefox:dbus-daemon             -
mpris                     -                                 firefox:mpris                   -
network-observe           firefox:network-observe           -                               -
password-manager-service  firefox:password-manager-service  -                               -
pcscd                     firefox:pcscd                     -                               -
