[host-drift] tag=ambient start=2026-09-22T02:11:14.640Z duration=900s interval=50ms -> ./raw/host-drift-ambient.json
[STALL] t=1790043107956 /usage/status 100.4 ms (seq 561)
[STALL] t=1790043118046 /api/host.describe 144.1 ms (seq 734)
[STALL] t=1790043170370 /usage/status 121.9 ms (seq 1611)
[STALL] t=1790043188080 /api/host.describe 200.9 ms (seq 1914)
[STALL] t=1790043189113 /usage/status 126.6 ms (seq 1925)
[STALL] t=1790043198071 /api/host.describe 109.4 ms (seq 2070)
[STALL] t=1790043198341 /usage/status 139.7 ms (seq 2073)
[STALL] t=1790043208904 /usage/status 118.3 ms (seq 2247)
[STALL] t=1790043212527 /api/host.describe 192.3 ms (seq 2300)
[STALL] t=1790043218032 /usage/status 226.7 ms (seq 2375)
[STALL] t=1790043223806 /usage/status 132.3 ms (seq 2465)
[STALL] t=1790043226159 /api/host.describe 124.7 ms (seq 2502)
[STALL] t=1790043248494 /api/host.describe 144.5 ms (seq 2878)
[STALL] t=1790043248839 /usage/status 101.2 ms (seq 2881)
[STALL] t=1790043258157 /usage/status 363.9 ms (seq 3029)
[STALL] t=1790043258571 /api/host.describe 222.8 ms (seq 3030)
[STALL] t=1790043262850 /api/host.describe 106.3 ms (seq 3094)
[STALL] t=1790043263606 /usage/status 112.1 ms (seq 3105)
[STALL] t=1790043268150 /api/host.describe 147.6 ms (seq 3166)
[STALL] t=1790043269922 /api/host.describe 183.7 ms (seq 3186)
[STALL] t=1790043270156 /usage/status 146.8 ms (seq 3187)
[STALL] t=1790043270971 /usage/status 136.7 ms (seq 3195)
[STALL] t=1790043271535 /usage/status 100.2 ms (seq 3199)
[STALL] t=1790043272033 /api/host.describe 121.5 ms (seq 3204)
[STALL] t=1790043277020 /usage/status 162.3 ms (seq 3277)
[STALL] t=1790043277952 /usage/status 135.7 ms (seq 3287)
[STALL] t=1790043288181 /usage/status 126.2 ms (seq 3457)
[STALL] t=1790043298149 /api/host.describe 142.2 ms (seq 3618)
[STALL] t=1790043328213 /usage/status 358.2 ms (seq 4101)
[STALL] t=1790043340204 /usage/status 278.0 ms (seq 4293)
[STALL] t=1790043340606 /usage/status 211.6 ms (seq 4295)
[STALL] t=1790043340935 /usage/status 105.2 ms (seq 4297)
[STALL] t=1790043342173 /usage/status 211.6 ms (seq 4317)
[STALL] t=1790043356259 /api/host.describe 167.9 ms (seq 4560)
[STALL] t=1790043358169 /usage/status 186.3 ms (seq 4585)
[STALL] t=1790043363231 /usage/status 104.1 ms (seq 4661)
[STALL] t=1790043365130 /api/host.describe 169.8 ms (seq 4688)
[STALL] t=1790043367324 /api/host.describe 125.5 ms (seq 4720)
[STALL] t=1790043367986 /api/host.describe 105.2 ms (seq 4726)
[STALL] t=1790043368217 /api/host.describe 156.6 ms (seq 4728)
[STALL] t=1790043368488 /api/host.describe 139.5 ms (seq 4730)
[STALL] t=1790043369139 /api/host.describe 106.0 ms (seq 4738)
[STALL] t=1790043372556 /api/host.describe 103.5 ms (seq 4788)
[STALL] t=1790043375242 /usage/status 180.9 ms (seq 4825)
[STALL] t=1790043383677 /usage/status 138.0 ms (seq 4937)
[STALL] t=1790043396006 /usage/status 105.8 ms (seq 5107)
[STALL] t=1790043396251 /usage/status 184.3 ms (seq 5109)
[STALL] t=1790043396823 /api/host.describe 113.5 ms (seq 5114)
[STALL] t=1790043396987 /usage/status 101.7 ms (seq 5115)
[STALL] t=1790043397980 /usage/status 107.2 ms (seq 5125)
[STALL] t=1790043398223 /usage/status 462.1 ms (seq 5127)
[STALL] t=1790043408275 /usage/status 277.8 ms (seq 5255)
[STALL] t=1790043412072 /api/host.describe 109.9 ms (seq 5302)
[STALL] t=1790043414752 /usage/status 107.4 ms (seq 5337)
[STALL] t=1790043418338 /api/host.describe 126.9 ms (seq 5384)
[STALL] t=1790043420135 /usage/status 113.7 ms (seq 5407)
[STALL] t=1790043422655 /api/host.describe 184.6 ms (seq 5440)
[STALL] t=1790043425047 /api/host.describe 106.5 ms (seq 5468)
[STALL] t=1790043425623 /api/host.describe 125.9 ms (seq 5474)
[STALL] t=1790043428264 /usage/status 235.0 ms (seq 5507)
[STALL] t=1790043430826 /usage/status 130.5 ms (seq 5537)
[STALL] t=1790043433581 /usage/status 135.2 ms (seq 5571)
[STALL] t=1790043433766 /api/host.describe 149.1 ms (seq 5572)
[STALL] t=1790043438324 /api/host.describe 468.9 ms (seq 5632)
[STALL] t=1790043439184 /api/host.describe 100.2 ms (seq 5636)
[STALL] t=1790043439335 /usage/status 134.1 ms (seq 5637)
[STALL] t=1790043448285 /api/host.describe 256.1 ms (seq 5754)
[STALL] t=1790043452767 /usage/status 133.9 ms (seq 5803)
[STALL] t=1790043454002 /api/host.describe 124.9 ms (seq 5814)
[STALL] t=1790043456991 /usage/status 108.1 ms (seq 5851)
[STALL] t=1790043458343 /api/host.describe 123.4 ms (seq 5868)
[STALL] t=1790043459015 /usage/status 240.5 ms (seq 5875)
[STALL] t=1790043459363 /usage/status 120.4 ms (seq 5877)
[STALL] t=1790043459775 /api/host.describe 106.5 ms (seq 5880)
[STALL] t=1790043462806 /api/host.describe 115.8 ms (seq 5912)
[STALL] t=1790043463061 /api/host.describe 139.2 ms (seq 5914)
[STALL] t=1790043464186 /api/host.describe 106.1 ms (seq 5926)
[STALL] t=1790043466778 /usage/status 123.0 ms (seq 5959)
[STALL] t=1790043468337 /api/host.describe 620.1 ms (seq 5976)
[STALL] t=1790043475134 /usage/status 112.9 ms (seq 6055)
[STALL] t=1790043477633 /api/host.describe 111.7 ms (seq 6086)
[STALL] t=1790043478085 /api/host.describe 102.2 ms (seq 6090)
[STALL] t=1790043480367 /api/host.describe 103.3 ms (seq 6116)
[STALL] t=1790043486832 /usage/status 134.5 ms (seq 6195)
[STALL] t=1790043488556 /usage/status 134.6 ms (seq 6215)
[STALL] t=1790043490891 /usage/status 112.3 ms (seq 6247)
[STALL] t=1790043491126 /usage/status 123.6 ms (seq 6249)
[STALL] t=1790043495945 /api/host.describe 106.4 ms (seq 6312)
[STALL] t=1790043496603 /usage/status 117.9 ms (seq 6319)
[STALL] t=1790043498398 /usage/status 202.1 ms (seq 6337)
[STALL] t=1790043499288 /api/host.describe 142.7 ms (seq 6346)
[STALL] t=1790043500665 /usage/status 102.9 ms (seq 6361)
[STALL] t=1790043501698 /usage/status 130.2 ms (seq 6373)
[STALL] t=1790043501967 /usage/status 167.6 ms (seq 6375)
[STALL] t=1790043503459 /usage/status 118.4 ms (seq 6391)
[STALL] t=1790043508372 /usage/status 731.6 ms (seq 6453)
[STALL] t=1790043509355 /api/host.describe 101.3 ms (seq 6456)
[STALL] t=1790043510523 /api/host.describe 134.2 ms (seq 6468)
[STALL] t=1790043510911 /usage/status 104.5 ms (seq 6471)
[STALL] t=1790043511675 /usage/status 109.3 ms (seq 6477)
[STALL] t=1790043514300 /api/host.describe 105.6 ms (seq 6506)
[STALL] t=1790043516418 /usage/status 100.2 ms (seq 6531)
[STALL] t=1790043522141 /usage/status 146.8 ms (seq 6599)
[STALL] t=1790043523487 /usage/status 146.5 ms (seq 6615)
[STALL] t=1790043525661 /api/host.describe 287.3 ms (seq 6640)
[STALL] t=1790043527215 /usage/status 124.2 ms (seq 6653)
[STALL] t=1790043527389 /api/host.describe 274.4 ms (seq 6654)
[STALL] t=1790043528410 /api/host.describe 139.4 ms (seq 6664)
[STALL] t=1790043529353 /api/host.describe 140.7 ms (seq 6674)
[STALL] t=1790043530017 /usage/status 181.3 ms (seq 6681)
[STALL] t=1790043530796 /api/host.describe 173.3 ms (seq 6688)
[STALL] t=1790043531020 /usage/status 117.2 ms (seq 6689)
[STALL] t=1790043531968 /usage/status 141.6 ms (seq 6697)
[STALL] t=1790043532247 /usage/status 192.8 ms (seq 6699)
[STALL] t=1790043532681 /api/host.describe 167.0 ms (seq 6702)
[STALL] t=1790043532972 /api/host.describe 111.5 ms (seq 6704)
[STALL] t=1790043534149 /api/host.describe 122.0 ms (seq 6716)
[STALL] t=1790043535335 /api/host.describe 237.3 ms (seq 6726)
[STALL] t=1790043535914 /usage/status 101.0 ms (seq 6731)
[STALL] t=1790043536537 /usage/status 121.0 ms (seq 6737)
[STALL] t=1790043536805 /usage/status 229.0 ms (seq 6739)
[STALL] t=1790043537084 /api/host.describe 115.4 ms (seq 6740)
[STALL] t=1790043537481 /api/host.describe 119.6 ms (seq 6744)
[STALL] t=1790043537899 /usage/status 146.9 ms (seq 6747)
[STALL] t=1790043538096 /api/host.describe 169.8 ms (seq 6748)
[STALL] t=1790043538316 /usage/status 100.1 ms (seq 6749)
[STALL] t=1790043538466 /api/host.describe 956.3 ms (seq 6750)
[STALL] t=1790043539473 /usage/status 298.4 ms (seq 6751)
[STALL] t=1790043539820 /api/host.describe 378.1 ms (seq 6752)
[STALL] t=1790043540249 /usage/status 124.8 ms (seq 6753)
[STALL] t=1790043540424 /api/host.describe 344.5 ms (seq 6754)
[STALL] t=1790043540819 /usage/status 195.5 ms (seq 6755)
[STALL] t=1790043541199 /usage/status 174.1 ms (seq 6757)
[STALL] t=1790043541424 /api/host.describe 237.6 ms (seq 6758)
[STALL] t=1790043541712 /usage/status 129.3 ms (seq 6759)
[STALL] t=1790043542041 /usage/status 323.0 ms (seq 6761)
[STALL] t=1790043542414 /api/host.describe 135.0 ms (seq 6762)
[STALL] t=1790043542691 /api/host.describe 107.8 ms (seq 6764)
[STALL] t=1790043542849 /usage/status 228.2 ms (seq 6765)
[STALL] t=1790043543128 /api/host.describe 144.0 ms (seq 6766)
[STALL] t=1790043543559 /usage/status 109.1 ms (seq 6769)
[STALL] t=1790043543962 /api/host.describe 256.7 ms (seq 6772)
[STALL] t=1790043544335 /api/host.describe 264.5 ms (seq 6774)
[STALL] t=1790043544650 /usage/status 280.2 ms (seq 6775)
[STALL] t=1790043544981 /api/host.describe 117.5 ms (seq 6776)
[STALL] t=1790043545268 /api/host.describe 335.5 ms (seq 6778)
[STALL] t=1790043545654 /usage/status 207.0 ms (seq 6779)
[STALL] t=1790043545911 /api/host.describe 121.8 ms (seq 6780)
[STALL] t=1790043546082 /usage/status 164.2 ms (seq 6781)
[STALL] t=1790043546297 /api/host.describe 304.1 ms (seq 6782)
[STALL] t=1790043546651 /usage/status 174.3 ms (seq 6783)
[STALL] t=1790043547017 /usage/status 355.2 ms (seq 6785)
[STALL] t=1790043547423 /api/host.describe 235.1 ms (seq 6786)
[STALL] t=1790043547708 /usage/status 222.9 ms (seq 6787)
[STALL] t=1790043547982 /api/host.describe 139.0 ms (seq 6788)
[STALL] t=1790043548171 /usage/status 110.1 ms (seq 6789)
[STALL] t=1790043548456 /usage/status 282.4 ms (seq 6791)
[STALL] t=1790043548789 /api/host.describe 349.3 ms (seq 6792)
[STALL] t=1790043549188 /usage/status 392.3 ms (seq 6793)
[STALL] t=1790043549631 /api/host.describe 215.5 ms (seq 6794)
[STALL] t=1790043549897 /usage/status 220.7 ms (seq 6795)
[STALL] t=1790043550168 /api/host.describe 303.9 ms (seq 6796)
[STALL] t=1790043550522 /usage/status 211.5 ms (seq 6797)
[STALL] t=1790043550784 /api/host.describe 383.7 ms (seq 6798)
[STALL] t=1790043551218 /usage/status 259.6 ms (seq 6799)
[STALL] t=1790043551528 /api/host.describe 360.1 ms (seq 6800)
[STALL] t=1790043551938 /usage/status 499.3 ms (seq 6801)
[STALL] t=1790043552488 /api/host.describe 370.2 ms (seq 6802)
[STALL] t=1790043552909 /usage/status 345.1 ms (seq 6803)
[STALL] t=1790043553304 /api/host.describe 500.2 ms (seq 6804)
[STALL] t=1790043553855 /usage/status 546.4 ms (seq 6805)
[STALL] t=1790043554451 /api/host.describe 394.5 ms (seq 6806)
[STALL] t=1790043554896 /usage/status 385.2 ms (seq 6807)
[STALL] t=1790043555332 /api/host.describe 262.0 ms (seq 6808)
[STALL] t=1790043555644 /usage/status 242.5 ms (seq 6809)
[STALL] t=1790043555937 /api/host.describe 247.9 ms (seq 6810)
[STALL] t=1790043556235 /usage/status 286.7 ms (seq 6811)
