[host-drift] tag=sentinel start=2026-09-22T02:26:20.288Z duration=10800s interval=500ms -> ./raw/host-drift-sentinel.json
[STALL] t=1790043980290 /api/host.describe 230.6 ms (seq 0)
[STALL] t=1790043984788 /usage/status 112.7 ms (seq 9)
[STALL] t=1790043986289 /api/host.describe 101.0 ms (seq 12)
[STALL] t=1790043989288 /api/host.describe 102.7 ms (seq 18)
[STALL] t=1790043992789 /usage/status 140.3 ms (seq 25)
[STALL] t=1790043993288 /api/host.describe 121.2 ms (seq 26)
[STALL] t=1790043998789 /usage/status 121.5 ms (seq 37)
[STALL] t=1790044000288 /api/host.describe 486.7 ms (seq 40)
[STALL] t=1790044017789 /usage/status 107.1 ms (seq 75)
[STALL] t=1790044018788 /usage/status 112.8 ms (seq 77)
[STALL] t=1790044020789 /usage/status 106.9 ms (seq 81)
[STALL] t=1790044021289 /api/host.describe 132.5 ms (seq 82)
[STALL] t=1790044024290 /api/host.describe 128.6 ms (seq 88)
[STALL] t=1790044024788 /usage/status 156.6 ms (seq 89)
[STALL] t=1790044025289 /api/host.describe 103.1 ms (seq 90)
[STALL] t=1790044030289 /api/host.describe 894.5 ms (seq 100)
[STALL] t=1790044034289 /api/host.describe 104.6 ms (seq 108)
[STALL] t=1790044049789 /usage/status 110.1 ms (seq 139)
[STALL] t=1790044050789 /usage/status 119.0 ms (seq 141)
[STALL] t=1790044055288 /api/host.describe 196.7 ms (seq 150)
[STALL] t=1790044055789 /usage/status 110.8 ms (seq 151)
[STALL] t=1790044059789 /usage/status 167.9 ms (seq 159)
[STALL] t=1790044060289 /api/host.describe 118.7 ms (seq 160)
[STALL] t=1790044062789 /usage/status 126.7 ms (seq 165)
[STALL] t=1790044065789 /usage/status 386.2 ms (seq 171)
[STALL] t=1790044066289 /api/host.describe 117.4 ms (seq 172)
[STALL] t=1790044067289 /api/host.describe 473.5 ms (seq 174)
[STALL] t=1790044067789 /usage/status 266.4 ms (seq 175)
[STALL] t=1790044068789 /usage/status 106.3 ms (seq 177)
[STALL] t=1790044070289 /api/host.describe 612.9 ms (seq 180)
[STALL] t=1790044070904 /usage/status 132.4 ms (seq 181)
[STALL] t=1790044071789 /usage/status 113.5 ms (seq 183)
[STALL] t=1790044076289 /api/host.describe 116.2 ms (seq 192)
[STALL] t=1790044082289 /api/host.describe 125.9 ms (seq 204)
[STALL] t=1790044082789 /usage/status 102.5 ms (seq 205)
[STALL] t=1790044087288 /api/host.describe 293.4 ms (seq 214)
[STALL] t=1790044088289 /api/host.describe 132.3 ms (seq 216)
[STALL] t=1790044088789 /usage/status 105.1 ms (seq 217)
[STALL] t=1790044090288 /api/host.describe 167.7 ms (seq 220)
[STALL] t=1790044090789 /usage/status 150.3 ms (seq 221)
[STALL] t=1790044091289 /api/host.describe 332.5 ms (seq 222)
[STALL] t=1790044091788 /usage/status 160.1 ms (seq 223)
[STALL] t=1790044092289 /api/host.describe 241.5 ms (seq 224)
[STALL] t=1790044092788 /usage/status 243.3 ms (seq 225)
[STALL] t=1790044093289 /api/host.describe 188.8 ms (seq 226)
[STALL] t=1790044093788 /usage/status 113.8 ms (seq 227)
[STALL] t=1790044095789 /usage/status 237.5 ms (seq 231)
[STALL] t=1790044100788 /usage/status 990.1 ms (seq 241)
[STALL] t=1790044101780 /api/host.describe 255.4 ms (seq 242)
[STALL] t=1790044102037 /usage/status 106.7 ms (seq 243)
[STALL] t=1790044102289 /api/host.describe 229.2 ms (seq 244)
[STALL] t=1790044104288 /api/host.describe 222.9 ms (seq 248)
[STALL] t=1790044104789 /usage/status 240.6 ms (seq 249)
[STALL] t=1790044105289 /api/host.describe 213.3 ms (seq 250)
[STALL] t=1790044106788 /usage/status 159.5 ms (seq 253)
[STALL] t=1790044107789 /usage/status 199.5 ms (seq 255)
[STALL] t=1790044113290 /api/host.describe 445.4 ms (seq 266)
[STALL] t=1790044114289 /api/host.describe 183.4 ms (seq 268)
[STALL] t=1790044121789 /usage/status 106.0 ms (seq 283)
[STALL] t=1790044122788 /usage/status 329.1 ms (seq 285)
[STALL] t=1790044125289 /api/host.describe 219.9 ms (seq 290)
[STALL] t=1790044126288 /api/host.describe 180.8 ms (seq 292)
[STALL] t=1790044126789 /usage/status 138.6 ms (seq 293)
[STALL] t=1790044128289 /api/host.describe 427.5 ms (seq 296)
[STALL] t=1790044128788 /usage/status 569.8 ms (seq 297)
[STALL] t=1790044129359 /api/host.describe 158.8 ms (seq 298)
[STALL] t=1790044129790 /usage/status 240.3 ms (seq 299)
[STALL] t=1790044130288 /api/host.describe 163.3 ms (seq 300)
[STALL] t=1790044131789 /usage/status 127.4 ms (seq 303)
[STALL] t=1790044132289 /api/host.describe 120.4 ms (seq 304)
[STALL] t=1790044132788 /usage/status 123.8 ms (seq 305)
[STALL] t=1790044133288 /api/host.describe 176.2 ms (seq 306)
[STALL] t=1790044133788 /usage/status 359.0 ms (seq 307)
[STALL] t=1790044135788 /usage/status 533.5 ms (seq 311)
[STALL] t=1790044136323 /api/host.describe 142.5 ms (seq 312)
[STALL] t=1790044136789 /usage/status 306.0 ms (seq 313)
[STALL] t=1790044140288 /api/host.describe 156.0 ms (seq 320)
[STALL] t=1790044140789 /usage/status 636.6 ms (seq 321)
[STALL] t=1790044141427 /api/host.describe 395.8 ms (seq 322)
[STALL] t=1790044141824 /usage/status 353.5 ms (seq 323)
[STALL] t=1790044142289 /api/host.describe 414.9 ms (seq 324)
[STALL] t=1790044142789 /usage/status 489.5 ms (seq 325)
[STALL] t=1790044143289 /api/host.describe 462.7 ms (seq 326)
[STALL] t=1790044143788 /usage/status 331.6 ms (seq 327)
[STALL] t=1790044144289 /api/host.describe 1474.1 ms (seq 328)
[STALL] t=1790044145763 /usage/status 866.2 ms (seq 329)
[STALL] t=1790044146631 /api/host.describe 977.0 ms (seq 330)
[STALL] t=1790044147608 /usage/status 982.5 ms (seq 331)
[STALL] t=1790044148592 /api/host.describe 1119.0 ms (seq 332)
[STALL] t=1790044149712 /usage/status 1817.6 ms (seq 333)
[STALL] t=1790044151531 /api/host.describe 1517.9 ms (seq 334)
[STALL] t=1790044153049 /usage/status 1016.6 ms (seq 335)
[STALL] t=1790044154068 /api/host.describe 813.0 ms (seq 336)
[STALL] t=1790044154882 /usage/status 732.6 ms (seq 337)
[STALL] t=1790044155616 /api/host.describe 693.5 ms (seq 338)
[STALL] t=1790044156311 /usage/status 680.5 ms (seq 339)
[STALL] t=1790044156993 /api/host.describe 860.4 ms (seq 340)
[STALL] t=1790044157855 /usage/status 483.9 ms (seq 341)
[STALL] t=1790044158340 /api/host.describe 431.2 ms (seq 342)
[STALL] t=1790044158773 /usage/status 259.1 ms (seq 343)
[STALL] t=1790044159033 /api/host.describe 224.2 ms (seq 344)
[STALL] t=1790044159259 /usage/status 140.3 ms (seq 345)
[STALL] t=1790044159401 /api/host.describe 119.8 ms (seq 346)
[STALL] t=1790044159522 /usage/status 126.0 ms (seq 347)
[STALL] t=1790044159649 /api/host.describe 205.3 ms (seq 348)
[STALL] t=1790044159856 /usage/status 121.3 ms (seq 349)
[STALL] t=1790044159979 /api/host.describe 175.6 ms (seq 350)
[STALL] t=1790044160156 /usage/status 151.2 ms (seq 351)
[STALL] t=1790044160720 /api/host.describe 156.5 ms (seq 358)
[STALL] t=1790044160878 /usage/status 148.3 ms (seq 359)
[STALL] t=1790044161028 /api/host.describe 141.8 ms (seq 360)
[STALL] t=1790044161789 /usage/status 364.1 ms (seq 363)
[STALL] t=1790044162289 /api/host.describe 306.0 ms (seq 364)
[STALL] t=1790044162788 /usage/status 203.3 ms (seq 365)
[STALL] t=1790044163289 /api/host.describe 161.1 ms (seq 366)
[STALL] t=1790044171788 /usage/status 1125.5 ms (seq 383)
[STALL] t=1790044180788 /usage/status 100.2 ms (seq 401)
[STALL] t=1790044181789 /usage/status 168.6 ms (seq 403)
[STALL] t=1790044209288 /api/host.describe 119.0 ms (seq 458)
[STALL] t=1790044213789 /usage/status 120.0 ms (seq 467)
[STALL] t=1790044234288 /api/host.describe 121.5 ms (seq 508)
[STALL] t=1790044235789 /usage/status 106.2 ms (seq 511)
[STALL] t=1790044236289 /api/host.describe 111.5 ms (seq 512)
[STALL] t=1790044241289 /api/host.describe 123.6 ms (seq 522)
[STALL] t=1790044241789 /usage/status 1818.5 ms (seq 523)
[STALL] t=1790044243608 /api/host.describe 139.2 ms (seq 524)
[STALL] t=1790044245789 /usage/status 123.6 ms (seq 531)
[STALL] t=1790044246788 /usage/status 150.3 ms (seq 533)
[STALL] t=1790044247289 /api/host.describe 129.2 ms (seq 534)
[STALL] t=1790044247788 /usage/status 114.9 ms (seq 535)
[STALL] t=1790044250789 /usage/status 174.4 ms (seq 541)
[STALL] t=1790044251790 /usage/status 169.8 ms (seq 543)
[STALL] t=1790044252289 /api/host.describe 166.1 ms (seq 544)
[STALL] t=1790044252788 /usage/status 198.5 ms (seq 545)
[STALL] t=1790044255288 /api/host.describe 203.8 ms (seq 550)
[STALL] t=1790044255789 /usage/status 130.3 ms (seq 551)
[STALL] t=1790044256289 /api/host.describe 195.6 ms (seq 552)
[STALL] t=1790044256788 /usage/status 232.5 ms (seq 553)
[STALL] t=1790044257289 /api/host.describe 105.3 ms (seq 554)
[STALL] t=1790044257788 /usage/status 245.7 ms (seq 555)
[STALL] t=1790044258789 /usage/status 188.2 ms (seq 557)
[STALL] t=1790044259789 /usage/status 135.6 ms (seq 559)
[STALL] t=1790044260288 /api/host.describe 121.1 ms (seq 560)
[STALL] t=1790044260790 /usage/status 203.7 ms (seq 561)
[STALL] t=1790044262289 /api/host.describe 563.4 ms (seq 564)
[STALL] t=1790044262854 /usage/status 126.8 ms (seq 565)
[STALL] t=1790044263788 /usage/status 216.7 ms (seq 567)
[STALL] t=1790044264788 /usage/status 161.7 ms (seq 569)
[STALL] t=1790044265789 /usage/status 106.6 ms (seq 571)
[STALL] t=1790044266788 /usage/status 369.7 ms (seq 573)
[STALL] t=1790044267288 /api/host.describe 276.8 ms (seq 574)
[STALL] t=1790044268288 /api/host.describe 151.1 ms (seq 576)
[STALL] t=1790044269790 /usage/status 139.5 ms (seq 579)
[STALL] t=1790044275289 /api/host.describe 230.4 ms (seq 590)
[STALL] t=1790044279789 /usage/status 120.9 ms (seq 599)
[STALL] t=1790044280288 /api/host.describe 127.2 ms (seq 600)
[STALL] t=1790044280788 /usage/status 193.4 ms (seq 601)
[STALL] t=1790044281288 /api/host.describe 119.2 ms (seq 602)
[STALL] t=1790044282290 /api/host.describe 123.4 ms (seq 604)
[STALL] t=1790044282788 /usage/status 139.7 ms (seq 605)
[STALL] t=1790044283288 /api/host.describe 223.0 ms (seq 606)
[STALL] t=1790044284789 /usage/status 130.4 ms (seq 609)
[STALL] t=1790044285789 /usage/status 299.1 ms (seq 611)
[STALL] t=1790044286288 /api/host.describe 126.2 ms (seq 612)
[STALL] t=1790044287288 /api/host.describe 138.6 ms (seq 614)
[STALL] t=1790044289790 /usage/status 136.3 ms (seq 619)
[STALL] t=1790044292789 /usage/status 104.0 ms (seq 625)
[STALL] t=1790044295789 /usage/status 126.5 ms (seq 631)
[STALL] t=1790044307790 /usage/status 108.5 ms (seq 655)
[STALL] t=1790044312288 /api/host.describe 1363.0 ms (seq 664)
[STALL] t=1790044313789 /usage/status 106.5 ms (seq 667)
[STALL] t=1790044324789 /usage/status 216.0 ms (seq 689)
[STALL] t=1790044327789 /usage/status 129.8 ms (seq 695)
[STALL] t=1790044330288 /api/host.describe 115.6 ms (seq 700)
[STALL] t=1790044332290 /api/host.describe 232.9 ms (seq 704)
[STALL] t=1790044332789 /usage/status 108.8 ms (seq 705)
[STALL] t=1790044334290 /api/host.describe 129.0 ms (seq 708)
[STALL] t=1790044360788 /usage/status 127.9 ms (seq 761)
[STALL] t=1790044371789 /usage/status 121.4 ms (seq 783)
[STALL] t=1790044375289 /api/host.describe 115.0 ms (seq 790)
[STALL] t=1790044382289 /api/host.describe 1054.6 ms (seq 804)
[STALL] t=1790044390288 /api/host.describe 136.7 ms (seq 820)
[STALL] t=1790044452789 /usage/status 1506.2 ms (seq 945)
[STALL] t=1790044458290 /api/host.describe 122.9 ms (seq 956)
[STALL] t=1790044472789 /usage/status 111.8 ms (seq 985)
[STALL] t=1790044475789 /usage/status 169.2 ms (seq 991)
[STALL] t=1790044484788 /usage/status 153.4 ms (seq 1009)
[STALL] t=1790044492788 /usage/status 177.9 ms (seq 1025)
[STALL] t=1790044495288 /api/host.describe 135.5 ms (seq 1030)
[STALL] t=1790044522788 /usage/status 740.7 ms (seq 1085)
[STALL] t=1790044563290 /api/host.describe 101.9 ms (seq 1166)
[STALL] t=1790044566290 /api/host.describe 134.0 ms (seq 1172)
